"first_date_of_month","all_monthly_index","all_quarterly_index","all_yearly_index","flat_monthly_index","flat_quarterly_index","flat_yearly_index","villa_monthly_index","villa_quarterly_index","villa_yearly_index","all_monthly_price_index","all_quarterly_price_index","all_yearly_price_index","flat_monthly_price_index","flat_quarterly_price_index","flat_yearly_price_index","villa_monthly_price_index","villa_quarterly_price_index","villa_yearly_price_index","load_timestamp"
"2013-05-01","1.054",,,"1.060",,,"1.105",,,"998442.000",,,"970571.000",,,"1892836.000",,,"2025-11-19 11:56:34.000"
"2011-09-01","1.016","1.015",,"1.024","1.026",,"0.961","0.982",,"999954.000","999459.000",,"979296.000","977668.000",,"1523298.000","1564472.000",,"2025-11-19 11:56:34.000"
"2020-02-01","1.104",,,"1.167",,,"1.043",,,"1063655.000",,,"1015635.000",,,"1613103.000",,,"2025-11-19 11:56:34.000"
"2015-03-01","1.298","1.303",,"1.345","1.336",,"1.380","1.267",,"1213620.000","1211086.000",,"1174418.000","1170474.000",,"2176537.000","2137141.000",,"2025-11-19 11:56:34.000"
"2016-08-01","1.252",,,"1.276",,,"1.344",,,"1158440.000",,,"1106297.000",,,"2132786.000",,,"2025-11-19 11:56:34.000"
"2023-08-01","1.504",,,"1.641",,,"1.508",,,"1412776.000",,,"1380722.000",,,"2509801.000",,,"2025-11-19 11:56:34.000"
"2011-10-01","1.015",,,"1.020",,,"0.966",,,"994141.000",,,"971100.000",,,"1541817.000",,,"2025-11-19 11:56:34.000"
"2018-11-01","1.215",,,"1.253",,,"1.239",,,"1120008.000",,,"1071159.000",,,"2082662.000",,,"2025-11-19 11:56:34.000"
"2016-11-01","1.253",,,"1.277",,,"1.393",,,"1169668.000",,,"1113488.000",,,"2241975.000",,,"2025-11-19 11:56:34.000"
"2012-02-01","0.994",,,"0.993",,,"1.014",,,"955212.000",,,"926625.000",,,"1657369.000",,,"2025-11-19 11:56:34.000"
"2017-04-01","1.294",,,"1.332",,,"1.411",,,"1236396.000",,,"1180056.000",,,"2246289.000",,,"2025-11-19 11:56:34.000"
"2020-12-01","1.075","1.117","1.150","1.124","1.170","1.186","1.000","1.005","1.077","1013973.000","1035728.000","1083410.000","953616.000","980655.000","1031312.000","1691696.000","1699992.000","1729467.000","2025-11-19 11:56:34.000"
"2012-01-01","1.000",,,"1.000",,,"1.000",,,"959293.000",,,"932485.000",,,"1620570.000",,,"2025-11-19 11:56:34.000"
"2018-06-01","1.254","1.290",,"1.292","1.330",,"1.324","1.275",,"1155343.000","1168364.000",,"1109947.000","1118330.000",,"2197933.000","2187442.000",,"2025-11-19 11:56:34.000"
"2019-02-01","1.184",,,"1.222",,,"1.196",,,"1104654.000",,,"1052995.000",,,"1980070.000",,,"2025-11-19 11:56:34.000"
"2011-07-01","1.013",,,"1.025",,,"0.973",,,"1001834.000",,,"982178.000",,,"1521754.000",,,"2025-11-19 11:56:34.000"
"2019-01-01","1.195",,,"1.234",,,"1.206",,,"1108487.000",,,"1056401.000",,,"2014137.000",,,"2025-11-19 11:56:34.000"
"2024-04-01","1.645",,,"1.805",,,"1.699",,,"1510837.000",,,"1487603.000",,,"2875434.000",,,"2025-11-19 11:56:34.000"
"2012-05-01","0.987",,,"0.986",,,"1.040",,,"944760.000",,,"913840.000",,,"1725461.000",,,"2025-11-19 11:56:34.000"
"2017-07-01","1.276",,,"1.319",,,"1.406",,,"1213542.000",,,"1155610.000",,,"2254416.000",,,"2025-11-19 11:56:34.000"
"2024-03-01","1.633","1.666",,"1.790","1.800",,"1.701","1.643",,"1502703.000","1505052.000",,"1477573.000","1472327.000",,"2850971.000","2813779.000",,"2025-11-19 11:56:34.000"
"2022-04-01","1.273",,,"1.331",,,"1.318",,,"1238402.000",,,"1140202.000",,,"2124828.000",,,"2025-11-19 11:56:34.000"
"2018-10-01","1.224",,,"1.261",,,"1.254",,,"1126448.000",,,"1076988.000",,,"2102934.000",,,"2025-11-19 11:56:34.000"
"2011-11-01","1.011",,,"1.014",,,"0.979",,,"984699.000",,,"960489.000",,,"1565821.000",,,"2025-11-19 11:56:34.000"
"2021-02-01","1.083",,,"1.125",,,"0.970",,,"1013881.000",,,"944982.000",,,"1711382.000",,,"2025-11-19 11:56:34.000"
"2023-09-01","1.526","1.558",,"1.665","1.679",,"1.539","1.446",,"1431798.000","1432776.000",,"1399719.000","1393948.000",,"2559674.000","2477541.000",,"2025-11-19 11:56:34.000"
"2021-07-01","1.083",,,"1.101",,,"1.039",,,"1024483.000",,,"916322.000",,,"1871675.000",,,"2025-11-19 11:56:34.000"
"2017-02-01","1.285",,,"1.320",,,"1.429",,,"1222568.000",,,"1162737.000",,,"2263229.000",,,"2025-11-19 11:56:34.000"
"2014-04-01","1.175",,,"1.210",,,"1.258",,,"1109036.000",,,"1076549.000",,,"2086517.000",,,"2025-11-19 11:56:34.000"
"2021-01-01","1.081",,,"1.127",,,"0.968",,,"1016208.000",,,"952825.000",,,"1678567.000",,,"2025-11-19 11:56:34.000"
"2015-02-01","1.297",,,"1.345",,,"1.386",,,"1209484.000",,,"1170460.000",,,"2196363.000",,,"2025-11-19 11:56:34.000"
"2014-12-01","1.287","1.269","1.209","1.335","1.308","1.232","1.370","1.257","1.267","1202077.000","1193370.000","1173267.000","1163099.000","1149275.000","1131014.000","2172860.000","2100167.000","2035153.000","2025-11-19 11:56:34.000"
"2017-01-01","1.276",,,"1.303",,,"1.434",,,"1198606.000",,,"1140213.000",,,"2282856.000",,,"2025-11-19 11:56:34.000"
"2015-06-01","1.297","1.321",,"1.340","1.351",,"1.358","1.274",,"1214168.000","1217535.000",,"1169611.000","1173281.000",,"2129456.000","2139370.000",,"2025-11-19 11:56:34.000"
"2016-06-01","1.220","1.268",,"1.253","1.293",,"1.286","1.221",,"1127058.000","1153800.000",,"1076368.000","1100496.000",,"2015680.000","2037981.000",,"2025-11-19 11:56:34.000"
"2014-09-01","1.254","1.228",,"1.304","1.259",,"1.328","1.238",,"1175816.000","1150652.000",,"1137672.000","1110640.000",,"2121287.000","2107669.000",,"2025-11-19 11:56:34.000"
"2022-03-01","1.249","1.251",,"1.285","1.260",,"1.297","1.234",,"1215673.000","1186002.000",,"1100294.000","1067385.000",,"2100519.000","2094633.000",,"2025-11-19 11:56:34.000"
"2020-08-01","1.105",,,"1.168",,,"1.012",,,"1051163.000",,,"1002771.000",,,"1617983.000",,,"2025-11-19 11:56:34.000"
"2019-04-01","1.153",,,"1.194",,,"1.148",,,"1080478.000",,,"1027684.000",,,"1854948.000",,,"2025-11-19 11:56:34.000"
"2013-07-01","1.074",,,"1.080",,,"1.125",,,"1009282.000",,,"981458.000",,,"1949852.000",,,"2025-11-19 11:56:34.000"
"2019-12-01","1.114","1.170","1.226","1.175","1.227","1.260","1.059","1.018","1.129","1072916.000","1082542.000","1143532.000","1024753.000","1035283.000","1095145.000","1643950.000","1682547.000","1819526.000","2025-11-19 11:56:34.000"
"2022-01-01","1.197",,,"1.228",,,"1.262",,,"1164956.000",,,"1049652.000",,,"2077358.000",,,"2025-11-19 11:56:34.000"
"2015-05-01","1.306",,,"1.349",,,"1.371",,,"1220709.000",,,"1178242.000",,,"2173424.000",,,"2025-11-19 11:56:34.000"
"2016-01-01","1.248",,,"1.279",,,"1.230",,,"1152833.000",,,"1108981.000",,,"1965346.000",,,"2025-11-19 11:56:34.000"
"2016-04-01","1.224",,,"1.256",,,"1.275",,,"1126633.000",,,"1076514.000",,,"2012216.000",,,"2025-11-19 11:56:34.000"
"2016-02-01","1.239",,,"1.268",,,"1.249",,,"1143532.000",,,"1098223.000",,,"1990188.000",,,"2025-11-19 11:56:34.000"
"2024-05-01","1.656",,,"1.826",,,"1.705",,,"1514243.000",,,"1500469.000",,,"2929379.000",,,"2025-11-19 11:56:34.000"
"2019-05-01","1.142",,,"1.184",,,"1.115",,,"1073884.000",,,"1022458.000",,,"1799145.000",,,"2025-11-19 11:56:34.000"
"2015-11-01","1.265",,,"1.301",,,"1.279",,,"1175429.000",,,"1130147.000",,,"1990689.000",,,"2025-11-19 11:56:34.000"
